Emoji Name,Emoji Icon,Time(s) Used
Check Mark Button,✅,485
Rocket,🚀,182
Light Bulb,💡,149
Small Blue Diamond,🔹,131
Cross Mark,❌,107
Backhand Index Pointing Down,👇,81
Check Mark,✔,77
Sparkles,✨,77
Bar Chart,📊,75
Backhand Index Pointing Right,👉,67
Briefcase,💼,65
Glowing Star,🌟,64
Bullseye,🎯,61
Speech Balloon,💬,57
Magnifying Glass Tilted Left,🔍,53
Pushpin,📌,52
Right Arrow,➡,41
Recycling Symbol,♻,37
Fire,🔥,36
Chart Increasing,📈,34
Police Car Light,🚨,31
Flexed Biceps,💪,23
Down Arrow,⬇,23
Thinking Face,🤔,22
Memo,📝,22
