Emoji Name,Emoji Icon,Time(s) Used
Check Mark Button,✅,485
Rocket,🚀,182
Light Bulb,💡,149
Small Blue Diamond,🔹,131
Cross Mark,❌,107
Backhand Index Pointing Down,👇,81
Sparkles,✨,77
Check Mark,✔,77
Bar Chart,📊,75
Backhand Index Pointing Right,👉,67
Briefcase,💼,65
Glowing Star,🌟,64
Bullseye,🎯,61
Speech Balloon,💬,57
Magnifying Glass Tilted Left,🔍,53
Pushpin,📌,52
Right Arrow,➡,41
Recycling Symbol,♻,37
Fire,🔥,36
Chart Increasing,📈,34
Police Car Light,🚨,31
Flexed Biceps,💪,23
Down Arrow,⬇,23
Thinking Face,🤔,22
Page Facing Up,📄,22
Memo,📝,22
Key,🔑,18
Link,🔗,17
Laptop,💻,17
Prohibited,🚫,17
Thumbs Up,👍,15
Red Circle,🔴,14
Warning,⚠,13
Light Skin Tone,🏻,13
Small Orange Diamond,🔸,13
Counterclockwise Arrows Button,🔄,12
Envelope With Arrow,📩,12
Red Question Mark,❓,12
Robot,🤖,11
Green Circle,🟢,11
Brain,🧠,11
Handshake,🤝,10
Collision,💥,10
Loudspeaker,📢,9
Bell,🔔,9
Books,📚,9
Keycap 10,🔟,9
Red Heart,❤,9
Hammer And Wrench,🛠,8
Waving Hand,👋,8
Triangular Flag,🚩,8
Envelope,✉,8
Globe With Meridians,🌐,8
Raising Hands,🙌,7
Writing Hand,✍,7
Graduation Cap,🎓,7
Plus,➕,6
Female Sign,♀,6
Smiling Face With Sunglasses,😎,6
Hundred Points,💯,6
Trophy,🏆,5
Black Small Square,▪,5
Scroll,📜,5
Eyes,👀,5
Magnifying Glass Tilted Right,🔎,5
Gem Stone,💎,5
Alarm Clock,⏰,5
High Voltage,⚡,4
Necktie,👔,4
Gear,⚙,4
Speaking Head,🗣,4
Grimacing Face,😬,4
Detective,🕵,4
Smiling Face With Smiling Eyes,😊,4
Woman,👩,4
Check Box With Check,☑,4
Beaming Face With Smiling Eyes,😁,4
Medium Skin Tone,🏽,4
Globe Showing Europe-Africa,🌍,4
Man,👨,4
Cyclone,🌀,4
Winking Face,😉,4
Orange Heart,🧡,4
Shield,🛡,4
Chart Decreasing,📉,4
Open File Folder,📂,4
Grinning Face With Sweat,😅,4
Star,⭐,4
Dress,👗,3
Three O’Clock,🕒,3
Face Screaming In Fear,😱,3
Face With Tears Of Joy,😂,3
Wrapped Gift,🎁,3
Victory Hand,✌,3
Male Sign,♂,3
Stethoscope,🩺,3
Bookmark,🔖,3
Military Medal,🎖,3
Round Pushpin,📍,3
File Folder,📁,3
Nazar Amulet,🧿,3
Seedling,🌱,3
Stop Sign,🛑,3
Open Book,📖,3
Exploding Head,🤯,3
Exclamation Question Mark,⁉,3
E-Mail,📧,3
Scissors,✂,3
Hourglass Not Done,⏳,3
Smiling Face With Tear,🥲,3
Inbox Tray,📥,2
Puzzle Piece,🧩,2
Backhand Index Pointing Up,👆,2
Repeat Button,🔁,2
Fountain Pen,🖋,2
Calendar,📅,2
Person In Lotus Position,🧘,2
Desktop Computer,🖥,2
Smiling Face,☺,2
Artist Palette,🎨,2
Wrench,🔧,2
Snake,🐍,2
Money Bag,💰,2
Eight-Spoked Asterisk,✳,2
Flushed Face,😳,2
Blue Heart,💙,2
Alien Monster,👾,2
Person Raising Hand,🙋,2
Basketball,🏀,2
Boy,👦,2
Person Tipping Hand,💁,2
1St Place Medal,🥇,2
Alien,👽,2
Medium-Light Skin Tone,🏼,2
Person,🧑,2
Sun With Face,🌞,2
Red Exclamation Mark,❗,2
Id Button,🆔,2
Copyright,©,2
Paintbrush,🖌,1
Sun,☀,1
Megaphone,📣,1
Double Exclamation Mark,‼,1
Clapping Hands,👏,1
Right Arrow Curving Down,⤵,1
Studio Microphone,🎙,1
Sun Behind Large Cloud,🌥,1
Worried Face,😟,1
Movie Camera,🎥,1
Speaker High Volume,🔊,1
Anxious Face With Sweat,😰,1
Person Running,🏃,1
Face With Monocle,🧐,1
Performing Arts,🎭,1
Camera With Flash,📸,1
Face With Crossed-Out Eyes,😵,1
Hot Beverage,☕,1
Confetti Ball,🎊,1
Heart Hands,🫶,1
Sports Medal,🏅,1
Person Facepalming,🤦,1
Smirking Face,😏,1
Folded Hands,🙏,1
Unlocked,🔓,1
Old Key,🗝,1
Bottle With Popping Cork,🍾,1
Smiling Face With Heart-Eyes,😍,1
Face Savoring Food,😋,1
Mantelpiece Clock,🕰,1
Person Lifting Weights,🏋,1
Bridge At Night,🌉,1
Globe Showing Asia-Australia,🌏,1
Clockwise Vertical Arrows,🔃,1
Office Building,🏢,1
Grinning Face With Big Eyes,😃,1
Vertical Traffic Light,🚦,1
Green Book,📗,1
Adhesive Bandage,🩹,1
Person Juggling,🤹,1
Love Letter,💌,1
Rosette,🏵,1
Water Wave,🌊,1
Open Hands,👐,1
